001. calculadora-mmc | Calculadora de MMC | matematica | calcular mínimo múltiplo comum
002. calculadora-mdc | Calculadora de MDC | matematica | calcular máximo divisor comum
003. calculadora-fracao-equivalente | Calculadora de Fração Equivalente | matematica | gerar frações equivalentes
004. simplificador-fracoes | Simplificador de Frações | matematica | reduzir frações
005. somador-fracoes | Somador de Frações | matematica | somar frações
006. subtrator-fracoes | Subtrator de Frações | matematica | subtrair frações
007. multiplicador-fracoes | Multiplicador de Frações | matematica | multiplicar frações
008. divisor-fracoes | Divisor de Frações | matematica | dividir frações
009. conversor-fracao-decimal | Conversor de Fração para Decimal | matematica | converter fração em decimal
010. conversor-decimal-fracao | Conversor de Decimal para Fração | matematica | converter decimal em fração
011. calculadora-equacao-primeiro-grau | Calculadora de Equação do 1º Grau | matematica | resolver ax+b=0
012. calculadora-equacao-segundo-grau | Calculadora de Equação do 2º Grau | matematica | resolver fórmula de bhaskara
013. calculadora-sistema-2x2 | Calculadora de Sistema 2x2 | matematica | resolver sistema linear 2x2
014. calculadora-fatorial | Calculadora de Fatorial | matematica | calcular fatorial
015. calculadora-permutacao | Calculadora de Permutação | matematica | calcular permutação simples
016. calculadora-combinacao | Calculadora de Combinação | matematica | calcular combinação simples
017. calculadora-arranjo | Calculadora de Arranjo | matematica | calcular arranjo simples
018. calculadora-logaritmo | Calculadora de Logaritmo | matematica | calcular logaritmo em base qualquer
019. calculadora-seno-cosseno-tangente | Calculadora de Seno Cosseno Tangente | matematica | calcular razões trigonométricas
020. calculadora-hipotenusa | Calculadora de Hipotenusa | matematica | teorema de pitágoras
021. calculadora-distancia-pontos | Calculadora de Distância entre Pontos | matematica | distância no plano cartesiano
022. calculadora-ponto-medio | Calculadora de Ponto Médio | matematica | ponto médio entre coordenadas
023. calculadora-raizes-equacao | Calculadora de Raízes da Equação | matematica | resolver raízes reais
024. calculadora-progressao-aritmetica | Calculadora de PA | matematica | progressão aritmética
025. calculadora-progressao-geometrica | Calculadora de PG | matematica | progressão geométrica
026. calculadora-media-ponderada | Calculadora de Média Ponderada | matematica-avancada | calcular média com pesos
027. calculadora-media-harmonica | Calculadora de Média Harmônica | matematica-avancada | calcular média harmônica
028. calculadora-media-geometrica | Calculadora de Média Geométrica | matematica-avancada | calcular média geométrica
029. calculadora-mediana | Calculadora de Mediana | matematica-avancada | calcular mediana
030. calculadora-moda | Calculadora de Moda | matematica-avancada | calcular moda
031. calculadora-variancia | Calculadora de Variância | matematica-avancada | calcular variância
032. calculadora-desvio-medio | Calculadora de Desvio Médio | matematica-avancada | calcular desvio médio
033. calculadora-coeficiente-variacao | Calculadora de Coeficiente de Variação | matematica-avancada | calcular CV
034. calculadora-erro-percentual | Calculadora de Erro Percentual | matematica-avancada | calcular erro relativo percentual
035. calculadora-intervalo-confianca | Calculadora de Intervalo de Confiança | matematica-avancada | estimativa estatística simples
036. calculadora-z-score | Calculadora de Z-Score | matematica-avancada | padronização estatística
037. calculadora-probabilidade-simples | Calculadora de Probabilidade Simples | matematica-avancada | p = casos favoráveis / total
038. calculadora-probabilidade-condicional | Calculadora de Probabilidade Condicional | matematica-avancada | calcular P(A|B)
039. calculadora-binomial | Calculadora Binomial | matematica-avancada | distribuição binomial simples
040. calculadora-matriz-2x2 | Calculadora de Matriz 2x2 | matematica-avancada | soma subtração multiplicação determinante
041. calculadora-determinante-2x2 | Calculadora de Determinante 2x2 | matematica-avancada | calcular determinante
042. calculadora-determinante-3x3 | Calculadora de Determinante 3x3 | matematica-avancada | calcular determinante
043. calculadora-polinomio | Calculadora de Polinômio | matematica-avancada | avaliar polinômio
044. calculadora-derivada-basica | Calculadora de Derivada Básica | matematica-avancada | derivadas simples por regras
045. calculadora-integral-basica | Calculadora de Integral Básica | matematica-avancada | integrais simples
046. calculadora-conversao-graus-radianos | Conversor de Graus para Radianos | matematica-avancada | converter ângulos
047. calculadora-conversao-radianos-graus | Conversor de Radianos para Graus | matematica-avancada | converter ângulos
048. calculadora-area-trapezio | Calculadora de Área do Trapézio | matematica-avancada | calcular área
